Station,month,latitude,longitude,groundwater_level_m,groundwater_readings,rainfall_mm,rainfall_readings,rainfall_stations,rainfall_available,gw_lag_1,gw_lag_2,gw_lag_3,gw_rolling_3,gw_change_1m,rain_lag_1,rain_lag_2,rain_lag_3,rain_rolling_3,month_num,year,target_gw_next_month,month_ym,ndvi,evi,lst_celsius,et_mm,soil_moisture
Amaram_1,2024-08-01,11.839319,77.960473,-0.02,116,197.75,95.0,2.0,1,-0.01,-0.01,0.0,-0.0133333333333333,-0.01,68.25,131.0,192.0,397.0,8,2024,-0.03,2024-08,0.5843,0.3551,30.4977,18.0872,0.243
Amaram_1,2024-09-01,11.839319,77.960473,-0.03,120,28.0,17.0,2.0,1,-0.02,-0.01,-0.01,-0.02,-0.0099999999999999,197.75,68.25,131.0,294.0,9,2024,-0.03,2024-09,0.5558,0.3538,35.8729,15.0606,0.1814
Amaram_1,2024-10-01,11.839319,77.960473,-0.03,124,207.75,113.0,2.0,1,-0.03,-0.02,-0.01,-0.0266666666666666,0.0,28.0,197.75,68.25,433.5,10,2024,1.04,2024-10,0.6854,0.4892,29.4292,20.8153,0.273
Amaram_1,2024-11-01,11.839319,77.960473,1.04,116,43.25,50.0,2.0,1,-0.03,-0.03,-0.02,0.3266666666666666,1.07,207.75,28.0,197.75,279.0,11,2024,11.23,2024-11,0.6561,0.374,27.2683,14.9078,0.2319
Amaram_1,2024-12-01,11.839319,77.960473,11.23,120,98.25,86.0,2.0,1,1.04,-0.03,-0.03,4.08,10.19,43.25,207.75,28.0,349.25,12,2024,27.345,2024-12,0.6917,0.4487,26.7893,18.4556,0.2711
Amaram_1,2025-01-01,11.839319,77.960473,27.345,124,5.75,8.0,2.0,1,11.23,1.04,-0.03,13.204999999999998,16.115,98.25,43.25,207.75,147.25,1,2025,8.11,2025-01,0.602,0.3524,27.6982,14.5247,0.1995
Amaram_1,2025-02-01,11.839319,77.960473,8.11,61,,,,0,27.345,11.23,1.04,15.561666666666667,-19.235,5.75,98.25,43.25,104.0,2,2025,-0.06,2025-02,0.4553,0.2609,32.2591,7.9301,0.1353
Amaram_1,2025-03-01,11.839319,77.960473,-0.06,124,13.25,21.0,2.0,1,8.11,27.345,11.23,11.798333333333332,-8.17,,5.75,98.25,19.0,3,2025,-0.06,2025-03,0.4128,0.2411,34.4157,4.9975,0.1205
Amaram_1,2025-04-01,11.839319,77.960473,-0.06,116,14.0,7.0,2.0,1,-0.06,8.11,27.345,2.663333333333333,0.0,13.25,,5.75,27.25,4,2025,3.3,2025-04,0.4897,0.2937,34.5543,5.4206,0.1412
Amaram_1,2025-05-01,11.839319,77.960473,3.3,120,216.0,75.0,2.0,1,-0.06,-0.06,8.11,1.0599999999999998,3.36,14.0,13.25,,243.25,5,2025,46.02,2025-05,0.5927,0.3797,30.8432,10.8524,0.2193
