Station,month_ym,ndvi,evi,lst_celsius,et_mm,soil_moisture
Amaram_1,2021-04,0.4106,0.2399,38.2218,5.5401,0.1468
Ammapet_1,2021-04,0.4559,0.2896,35.5162,7.0621,0.1324
Ariyampatti,2021-04,0.4116,0.246,39.0058,5.5541,0.1445
Avaniperur Keelmugam,2021-04,0.4202,0.2518,38.0625,5.7582,0.1439
Ayodhiyapattinam,2021-04,0.4742,0.2945,36.014,6.6645,0.1315
Egapuram,2021-04,0.3522,0.2028,39.6218,4.2727,0.1449
Erumaipatti_1,2021-04,0.4276,0.2566,36.9276,5.6514,0.1396
Erumaipatti_2,2021-04,0.3757,0.2266,38.7002,4.8183,0.1433
Gundakkal,2021-04,0.4025,0.2293,37.4864,5.4758,0.1442
Hasthampati,2021-04,0.3999,0.2675,36.0503,6.6625,0.1419
Hasthampatti,2021-04,0.4374,0.2975,35.6674,7.7987,0.1411
Illupanatham_1,2021-04,0.458,0.318,38.7286,8.7448,0.1305
Inam Bairoji,2021-04,0.4436,0.2589,37.1673,6.1694,0.1412
Kadambur,2021-04,0.4734,0.292,36.3724,8.5799,0.1257
Kullampatti,2021-04,0.5023,0.3201,36.5376,8.1863,0.141
M.Chettipatti,2021-04,0.3747,0.229,39.8687,4.9615,0.1446
Manjakalpatti,2021-04,0.4358,0.2704,36.2742,6.048,0.1404
Mannarpalayam,2021-04,0.4179,0.2513,37.5084,5.5289,0.1271
Moolakadu,2021-04,0.3512,0.21,33.0514,7.8165,0.1339
Murungapatty,2021-04,0.4085,0.2339,37.6772,5.3201,0.145
Muthiyampatti,2021-04,0.4191,0.2435,38.7392,5.7512,0.1446
Nadupatty,2021-04,0.4559,0.2697,37.026,6.6688,0.1409
Navapatti,2021-04,0.5289,0.3035,32.8179,8.9691,0.132
Pannavadi,2021-04,0.2902,0.1755,36.334,6.4489,0.1265
Pappanaickanpatti,2021-04,0.6151,0.3674,32.4506,13.7982,0.1293
Periyakadampatty,2021-04,0.3716,0.2245,40.1948,4.7766,0.1446
Pillukurichi,2021-04,0.4972,0.3222,36.0186,8.6741,0.1366
Pulluthikuttai,2021-04,0.5318,0.3381,32.9187,10.9265,0.1257
Rajapalayam (TN-MWS01),2021-04,0.3791,0.246,40.4822,6.4662,0.1347
Ramagudal,2021-04,0.4918,0.3151,35.2237,7.9865,0.1331
Ramanaickanpalayam,2021-04,0.5191,0.3385,37.3148,9.9512,0.126
Samuthiram_1,2021-04,0.4092,0.2357,39.0363,5.6322,0.1446
Sanarpatti,2021-04,0.4857,0.3054,36.3374,7.4436,0.1445
Sandhiyur,2021-04,0.446,0.251,35.5977,5.6477,0.1389
Sendarapatti,2021-04,0.453,0.2698,37.3505,7.7706,0.1289
Singipuram,2021-04,0.4279,0.2646,38.3551,6.1161,0.1264
Siruvachur,2021-04,0.4999,0.3281,37.2139,9.9125,0.1703
Sitteri,2021-04,0.4458,0.3147,39.4859,8.6481,0.1315
Sukkampatti,2021-04,0.4898,0.2885,34.8169,7.3335,0.1312
Thekkampatti,2021-04,0.4635,0.3051,36.6414,7.032,0.1442
Thuttampatti,2021-04,0.3536,0.2037,40.3666,4.3762,0.1445
Vaikundham sankari Salem Tamil Nadu,2021-04,0.4918,0.3111,36.2352,8.6877,0.1427
Veerakal,2021-04,0.5003,0.3074,35.8095,7.9793,0.1449
Veppilaipatty,2021-04,0.4541,0.2657,35.4502,5.75,0.1318
Amaram_1,2021-05,0.4751,0.3108,38.9499,8.4987,0.1615
Ammapet_1,2021-05,0.5286,0.3367,36.1782,9.8008,0.1508
Ariyampatti,2021-05,0.4066,0.2393,39.4958,7.2004,0.158
Avaniperur Keelmugam,2021-05,0.4724,0.3144,37.9633,9.4185,0.1593
Ayodhiyapattinam,2021-05,0.5224,0.3279,36.9225,9.0176,0.1527
Egapuram,2021-05,0.4022,0.2482,39.9277,6.6505,0.1601
Erumaipatti_1,2021-05,0.4787,0.3341,37.1929,8.8485,0.1563
Erumaipatti_2,2021-05,0.4399,0.2974,38.5684,7.6818,0.1587
Gundakkal,2021-05,0.4562,0.2689,38.5405,8.307,0.1606
Hasthampati,2021-05,0.4651,0.3111,36.9932,9.9052,0.1582
