station,block,confidence
Amaram_1,Omalur,high
Ammapet_1,Salem,high
Ariyampatti,Omalur,low
Avaniperur Keelmugam,Edappadi,high
Ayodhiyapattinam,Salem,high
Egapuram,Edappadi,high
Erumaipatti_1,Sankari,high
Erumaipatti_2,Edappadi,high
Gundakkal,Kadayampatti,high
Hasthampati,Salem,high
Hasthampatti,Salem,high
Illupanatham_1,Gangavalli,high
Inam Bairoji,Salem,high
Kadambur,Gangavalli,high
Kullampatti,Edappadi,high
M.Chettipatti,Omalur,high
Manjakalpatti,Sankari,high
Mannarpalayam,Vazhapadi,high
Moolakadu,Mettur,high
Murungapatty,Omalur,high
Muthiyampatti,Edappadi,high
Nadupatty,Kadayampatti,high
Navapatti,Mettur,high
Pannavadi,Mettur,high
Pappanaickanpatti,Attur,low
Periyakadampatty,Omalur,high
Pillukurichi,Edappadi,high
Pulluthikuttai,Vazhapadi,high
Rajapalayam (TN-MWS01),Gangavalli,low
Ramagudal,Sankari,low
Ramanaickanpalayam,Attur,high
Samuthiram_1,Edappadi,high
Sanarpatti,Mettur,high
Sandhiyur,Salem,high
Sendarapatti,Gangavalli,low
Singipuram,Vazhapadi,high
Siruvachur,Attur,low
Sitteri,Gangavalli,low
Sukkampatti,Yercaud,high
Thekkampatti,Omalur,high
Thuttampatti,Omalur,high
Vaikundham,,unassigned
Vaikundham sankari Salem Tamil Nadu,Sankari,high
Veerakal,Mettur,high
Veppilaipatty,Vazhapadi,high
